col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23
167234,[인천대학교 창업지원단] 2024년 예비창업패키지 대비 INU 스타트업 아카데미 교육생 모집,사업화,전국,전체,전체,2023-12-26 ~ 2024-01-15 23:59,예비창업자,국립대학법인 인천대학교,교육기관,창업지원단,공고 제231222호,2024년 예비창업패키지를 준비하는 예비창업자를 발굴하고 지원하고자 참여를 희망하는 예비창업자는 안내에 따라 신청하기 바랍니다.,2023년 12월 26일,인천대학교 창업지원단,2023.12.26(화) 18:00 ~ 2024.01.15(월) 23:59 까지,,,,,,2024년 예비창업패키지를 준비하는 예비창업자,동 사업 수혜기업
167239,2024 판교 생태계 활성화를 위한 글로벌 액셀러레이터 운영 『2024 판교 스타트업 캠퍼스』입주기업 모집 공고,시설ㆍ공간ㆍ보육,전국,전체,전체,2024-01-02 ~ 2024-01-22 23:59,전체,와이앤아처(주),민간,글로벌전략본부,공고 제240102 - 1호,경기도경제과학진흥원에서 주관하고 와이앤아처(주)에서 운영하는 “판교 생태계 활성화를 위한 글로벌 액셀러레이터 운영 사업”에 참여할 스타트업을 모집합니다.,2024년 1월 2일,와이앤아처(주),2024.01.02(화) 00:00 ~ 2024.01.22(월) 23:59 까지,,,,,,"입주공간 필요 및 글로벌시장 진출을 희망 하는 유망 스타트업
  - 업종 및 업력 제한 없음
  - 선발기업은 1개월 기준 출석률 80%이상, 판교 스타트업캠퍼스 상주 필수
  - 2024년 3월 29일까지 판교 스타트업캠퍼스로 본사 주소지 이전 필수
  - 개인사업자 및 예비창업자는 3월 내 국내 법인등록을 필수로 진행하여야 함",
167241,2024 숭실대학교 캠퍼스타운 입주기업 모집,시설ㆍ공간ㆍ보육,서울특별시,"대학생, 일반인, 대학, 연구기관, 일반기업, 1인 창조기업",만 20세 이상 ~ 만 39세 이하,2023-12-22 ~ 2024-01-15 11:00,"예비창업자, 7년미만",숭실대학교산학협력단,교육기관,숭실대학교 캠퍼스타운사업단,공고 제 1호,숭실대학교 캠퍼스타운에서는 AI+X형 유망 청년 창업기업 발굴 및 캠퍼스타운 입주 연계하여 원활한 창업활동 지원하고 성장가능성이 높은 청년 창업기업에게 공간 및 창업활동비 등을 지원하여 창업성공 도모 및 지역경제 활성화시키고자 이와 같이 모집합니다.,2023년 12월 22일,숭실대학교 캠퍼스타운사업단,2023.12.22(금) 00:00 ~ 2024.01.15(월) 11:00 까지,,,,,,"아래의 조건을 모두 충족해야 신청 가능

1. AI+X 특화분야 및 플랫폼 분야 등의 우수기술 보유 창업기업
2. 창업 업력 7년 미만의 청년창업기업
- 업력: 사업자등록증의 개업연월일부터 공고일(2023.12.22.)까지의 창업기간 기준
- 청년창업기업: 공고일 기준 대표자 연령이 만 39세 미만인 창업기업
※ 단, 기술기반 및 실험실 창업 활성화를 위하여 교원창업에 해당하는 경우 대표자 연령 무관
※ 교원창업의 경우 소속대학의 규정에 따라 교원창업으로 인정되어야 함

※ 예비창업자의 경우 입주 후 2개월 이내 숭실대학교 캠퍼스타운으로 사업자등록 완료
※ 창업기업의 경우 입주 후 2개월 이내 숭실대학교 캠퍼스타운으로 사업자등록 이전 필수
※ 위 조건을 이행하지 않을 시 입주 후에도 퇴거조치함",위 자격요건에 부합하지 않을 경우 신청 불가
167248,[공문 제2023-0185호] 제 18회 초기창업을 위한 벤처인증 지원사업 설명회 모집 공고,멘토링ㆍ컨설팅ㆍ교육,전국,"대학생, 일반인, 대학, 연구기관, 일반기업, 1인 창조기업",전체,2023-12-29 ~ 2024-01-05 17:00,전체,(사)한국중소기업발전협회,민간,경영지원,공문 제2023-0185호,"혁신형 기술 아이디어를 가진 초기창업기업에게 벤처인증 전략을 제공하고자 제18회 초기창업기업을 위한 벤처인증 지원사업 설명회를 다음과 같이 공고하오니,
사업에 참여하고자 하는 대표님께서는 안내에 따라 신청하시기 바랍니다.",2023년 12월 27일, 한국중소기업발전협회,2023.12.29(금) 00:00 ~ 2024.01.05(금) 17:00 까지,,,,,,"1) 한국중소기업발전협회 회원가입 기업 (무료)
2) 초기창업기업 (창업 3년 이내)",
167249,2024년 대전광역시 서구 청년창업지원센터 입주기업 2차모집,시설ㆍ공간ㆍ보육,대전광역시,"대학생, 일반인, 일반기업, 1인 창조기업",만 20세 이상 ~ 만 39세 이하,2023-12-28 ~ 2024-01-14 23:59,"예비창업자, 3년미만",목원대학교 산학협력단,교육기관,대전광역시 서구 청년창업지원센터,,대전광역시 서구 청년창업지원센터에서 청년 창업의 꿈을 펼칠 청년 창업가를 모집하오니 많은 지원 부탁드립니다.,2023년 12월 28일,대전광역시 서구 청년창업지원센터,2023.12.28(목) 00:00 ~ 2024.01.14(일) 23:59 까지,,,,,,"1) 대전광역시 서구에 거주하는 19세 이상 39세 이하 청년
2) 창업일로부터 3년 이내의 (예비)창업자
※ 1~2번 항목 모두 필수로 충족해야 함",
167253,[선문대학교 창업보육센터] 2024년 제 1차 창업보육센터 신규 입주기업 모집 공고 ~1/15(월)까지,시설ㆍ공간ㆍ보육,충청남도,전체,전체,2023-12-29 ~ 2024-01-15 23:59,"예비창업자, 1년미만, 2년미만, 3년미만",선문대학교산학협력단,교육기관,창업보육센터,,창업보육센터는 우수한 창업아이템을 보유한 예비창업자와 창업초기 기업의 성장지원 및 산학협력 활성화를 위하여 아래와 같이 신규 입주기업을 모집하오니 많은 관심과 홍보 부탁드립니다.,2023년 12월 29일,선문대학교 창업보육센터,2023.12.29(금) 12:00 ~ 2024.01.15(월) 23:59 까지,"충청남도 아산시 탕정면 선문로221번길 70, 선문대학교 아산캠퍼스 산학협력관 307B",,,,,"1) 모집대상 : 제조업종
- 전기/전자, 반도체, 디스플레이 관련 업종 우대
(1) 예비 창업자
- 잠재력이 높은 기술의 개발단계에 있는 창업 준비자
- 기술적 아이디어를 바탕으로 구체적 사업화 목적이 있는 자
- 입주 후 6개월 이내 창업가능자(의무사항)
(2) 기 창업자
- 기술집약형 기업으로 창업 3년 이내의 중소기업을 영위하는 자
- 지식재산권 및 인증 보유기업 우대
2) 입주형태 : 사업 활동을 위한 주 사업장(본사)이 창업보육센터에 소재
- 기 창업자의 경우 1개월 이내 본사 주소지 변경 의무","- 금융기관으로부터 불량거래자로 규제 중인 자
- 폐수, 소음, 진동 등 공해 다발업종 영위 자
- 도․소매기업, 연구소 및 지점만 입주하려는 기업
- 기타 센터의 목적 및 보육환경에 부적합하다고 인정되는 자 등"
167255,2024년 1월 서울테크노파크 수요기술조사 공고,사업화,전국,"대학생, 일반인, 일반기업, 1인 창조기업",전체,2024-01-01 ~ 2024-01-31 23:59,전체,서울테크노파크,공공기관,기업지원팀,,(재)서울테크노파크는 기업과 예비창업자가 보유한 기술 애로사항을 파악하여 맞춤형 지원을 제공하기 위해 수요기술조사를 아래와 같이 진행하오니 기술사업화 과정에서 어려움을 겪고 있는 기업 및 예비창업자의 많은 참여 바랍니다.,2024년 1월 1일,(재)서울테크노파크,2024.01.01(월) 00:00 ~ 2024.01.31(수) 23:59 까지,,,,https://www.seoultp.or.kr/user/nd19746.do?View&amp;pageLS=10&amp;pageST=SUBJECT&amp;pageSV=&amp;page=1&amp;pageSC=SORT_ORDER&amp;pageSO=DESC&amp;dmlType=&amp;boardNo=00003460&amp;menuCode=www,,"사업화 과정에서 겪고 있는 기술 애로사항을 기술이전(공동연구, M&;A 등 포함)을 통해 해결하고자 하는 전국 기업 및 예비창업자",
167263,[한국중소기업발전협회] 제13회 IPO 기술특례상장 지원사업 설명회 모집 공고,멘토링ㆍ컨설팅ㆍ교육,전국,"대학생, 일반인, 대학, 연구기관, 일반기업, 1인 창조기업",전체,2024-01-02 ~ 2024-01-31 17:00,"1년미만, 2년미만, 3년미만, 5년미만, 7년미만, 10년미만",(사)한국중소기업발전협회,민간,경영지원,공문 제2024-0001호,"기술력과 성장성이 인정되는 중소기업에게 체계적인 상장 전략을 제공하기 위한 제 13회 IPO 기술특례상장 지원사업 설명회를 다음과 같이 공고하오니,
사업에 참여하고자 하는 스타트업 및 중소기업은 안내에 따라 신청하시기 바랍니다.",2024년 1월 2일, 한국중소기업발전협회,2024.01.02(화) 00:00 ~ 2024.01.31(수) 17:00 까지,,,,,,한국중소기업발전협회 회원가입 기업,
167260,2024 제품 제조 설계 멘토링 '코칭데이' 2월 참가 스타트업 모집,멘토링ㆍ컨설팅ㆍ교육,전국,"대학생, 일반인, 대학, 연구기관, 일반기업, 1인 창조기업","만 20세 이상 ~ 만 39세 이하, 만 40세 이상",2024-01-02 ~ 2024-01-26 23:59,7년미만,인탑스 주식회사,민간,인탑스 마케팅팀,,"페이퍼프로그램은 하드웨어 스타트업을 대상으로 설계 해결 방안, 제조 원가 절감을 위한 방법, 제품 디자인에 대한 조언 등 전문가가 디테일하게 알려드리는 코칭데이를 매월 개최하고 있습니다. 코칭데이는 인탑스에서 주요 프로젝트를 리드하며 많은 경험과 노하우를 쌓은 기구설계·제품디자인 전문가가 함께합니다.
자유로운 질문과 답변으로 궁금증을 해소하고, 여러분 스스로 해결책을 발견하고 실행할 수 있는 프로세스를 공유합니다.",2024년 1월 2일,(주)인탑스,2024.01.02(화) 00:00 ~ 2024.01.26(금) 23:59 까지,,,,https://paper-program.com/kor/apply/apply.html?utm_source=startupsite&amp;utm_medium=kstartup&amp;utm_campaign=coaching2402,,"· 제조 하드웨어 스타트업 (ex. 스마트 디바이스, 헬스케어 및 의료기기, 로보틱스, 생활 용품/가전, 퍼스널 모빌리티 등)
· 개인 사업자 혹은 법인의 형태를 갖춘 업체
· 프로토타입 수준의 시연 가능한 제품 필요",
167266,2024 중소기업 무관세권역 수출판매개척단(체코·네덜란드),판로ㆍ해외진출,경기도,일반기업,전체,2023-12-18 ~ 2024-01-19 18:00,"1년미만, 2년미만, 3년미만, 5년미만, 7년미만, 10년미만",수원도시재단,공공기관,수원시 국제통상팀,수원시 공고 2023-2998,수원시와 수원도시재단에서는 관내 중소기업이 EU 무관세 권역 신규 수출개척을 진흥하기 위한「2024 중소기업 무관세권역 수출개척단(체코‧네덜란드)」을 추진합니다. 참가를 희망하는 시내 중소제조기업에서는 신청하시기 바랍니다.,2023년 12월 18일,수원시장,2023.12.18(월) 00:00 ~ 2024.01.19(금) 18:00 까지,,,,,,"- 수원시 소재 중소제조기업
- 개척품목: 전기전자, 미용, 헬스케어, 생활용품, 식품 등",
